Title,Author,Genre,SubGenre,Height,Publisher
Fundamentals of Wavelets,"Goswami, Jaideva",tech,signal_processing,228,Wiley
Data Smart,"Foreman, John",tech,data_science,235,Wiley
God Created the Integers,"Hawking, Stephen",tech,mathematics,197,Penguin
Superfreakonomics,"Dubner, Stephen",science,economics,179,HarperCollins
Orientalism,"Said, Edward",nonfiction,history,197,Penguin
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",tech,data_science,230,Springer
Integration of the Indian States,"Menon, V P",nonfiction,history,217,Orient Blackswan
"Drunkard's Walk, The","Mlodinow, Leonard",science,mathematics,197,Penguin
Image Processing & Mathematical Morphology,"Shih, Frank",tech,signal_processing,241,CRC
How to Think Like Sherlock Holmes,"Konnikova, Maria",nonfiction,psychology,240,Penguin
Data Scientists at Work,Sebastian Gutierrez,tech,data_science,230,Apress
Slaughterhouse Five,"Vonnegut, Kurt",fiction,classic,198,Random House
Birth of a Theorem,"Villani, Cedric",science,mathematics,234,Bodley Head
Structure & Interpretation of Computer Programs,"Sussman, Gerald",tech,computer_science,240,MIT Press
"Age of Wrath, The","Eraly, Abraham",nonfiction,history,238,Penguin
